Date,BAJAJ-AUTO.NS,DRREDDY.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,MARUTI.NS,SUNPHARMA.NS,TCS.NS
2021-10-11,3485.083984375,952.9389038085938,777.0966186523438,2450.048583984375,691.9149169921875,1504.6407470703125,192.54464721679688,7427.794921875,794.5090942382812,3262.87939453125
2021-10-12,3599.6669921875,956.0443115234375,775.098876953125,2478.808837890625,687.3558349609375,1499.4798583984375,195.1734161376953,7421.04345703125,791.7893676757812,3233.88623046875
2021-10-13,3589.624267578125,959.5782470703125,779.7601318359375,2451.576904296875,688.6653442382812,1520.8800048828125,201.56326293945312,7216.89697265625,804.0521850585938,3235.96630859375
2021-10-14,3588.041259765625,965.4679565429688,802.5908203125,2454.170166015625,705.4952392578125,1526.7083740234375,207.50823974609375,7231.1240234375,802.8594970703125,3203.368896484375
2021-10-18,3542.85009765625,949.658203125,794.4573364257812,2458.29248046875,723.10107421875,1594.6905517578125,212.3612823486328,7385.54833984375,797.7060546875,3235.034423828125
2021-10-19,3538.86962890625,934.919189453125,803.208984375,2358.997314453125,725.0411376953125,1621.3851318359375,198.93450927734375,7384.24609375,789.5467529296875,3223.50390625
2021-10-20,3481.96240234375,925.5930786132812,796.1458129882812,2295.87255859375,723.4890747070312,1603.7666015625,199.4602508544922,7321.64697265625,777.665771484375,3201.06298828125
2021-10-21,3441.56640625,905.6847534179688,797.3111572265625,2265.398681640625,732.8497924804688,1560.4327392578125,197.92347717285156,7306.6962890625,781.005859375,3133.340087890625
2021-10-22,3498.111572265625,902.9199829101562,799.427734375,2273.13330078125,736.5357666015625,1530.3121337890625,191.37185668945312,7146.2431640625,775.4230346679688,3103.4921875
2021-10-25,3405.1513671875,910.4548950195312,788.1312866210938,2274.75390625,816.4654541015625,1519.4117431640625,188.7835693359375,7003.201171875,776.0433349609375,3098.2587890625
2021-10-26,3430.48388671875,908.5176391601562,786.10986328125,2271.0263671875,804.5342407226562,1529.4212646484375,191.45277404785156,7038.6484375,776.3296508789062,3089.078369140625
2021-10-27,3416.686767578125,907.8362426757812,781.3773803710938,2233.514892578125,809.96630859375,1552.08837890625,192.86819458007812,7095.4599609375,787.3995971679688,3095.4208984375
2021-10-28,3348.108642578125,889.7776489257812,757.9758911132812,2227.038330078125,774.7545776367188,1529.600830078125,182.0701904296875,7108.43359375,770.69921875,3035.015380859375
2021-10-29,3354.03466796875,907.1548461914062,752.8628540039062,2230.2998046875,778.004150390625,1497.1488037109375,180.53338623046875,7217.13720703125,758.6749267578125,3013.81640625
2021-11-01,3371.1337890625,934.85107421875,763.5409545898438,2243.30078125,779.7987060546875,1526.144775390625,183.48562622070312,7345.5673828125,774.707275390625,3083.578857421875
2021-11-02,3385.337890625,924.0743408203125,764.2305908203125,2254.29736328125,776.9371948242188,1524.2147216796875,182.47459411621094,7515.52099609375,778.1428833007812,3090.49755859375
2021-11-03,3346.027587890625,929.0490112304688,752.1968383789062,2247.261474609375,762.3868408203125,1528.3438720703125,179.92674255371094,7460.0595703125,751.9470825195312,3097.63818359375
2021-11-04,3401.170654296875,927.9780883789062,758.1423950195312,2257.978759765625,758.6522216796875,1533.9097900390625,183.24301147460938,7472.7431640625,759.1043701171875,3112.18505859375
2021-11-08,3417.410400390625,932.3783569335938,761.1389770507812,2266.412841796875,756.7608032226562,1559.7637939453125,185.87173461914062,7412.169921875,763.4464111328125,3106.9521484375
2021-11-09,3432.92626953125,933.0792236328125,747.8211059570312,2265.7138671875,762.9689331054688,1564.25244140625,185.02244567871094,7308.91455078125,764.7348022460938,3109.567626953125
2021-11-10,3412.34423828125,940.2833251953125,739.7351684570312,2236.8232421875,757.48828125,1562.1427001953125,186.72100830078125,7245.35107421875,774.0393676757812,3090.586669921875
2021-11-11,3392.666259765625,937.4796142578125,736.4295654296875,2214.503173828125,748.321533203125,1555.9932861328125,186.0334930419922,7189.21435546875,758.5317993164062,3094.04541015625
2021-11-12,3288.7138671875,942.9896240234375,738.6650390625,2241.296875,753.317138671875,1598.095703125,188.37911987304688,7214.6787109375,769.6494750976562,3127.618408203125
2021-11-15,3258.043212890625,948.9085693359375,740.6865234375,2259.749755859375,750.1161499023438,1604.3348388671875,192.58509826660156,7237.10400390625,773.6575317382812,3151.78955078125
2021-11-16,3264.8740234375,937.9955444335938,736.286865234375,2242.88134765625,741.1433715820312,1608.9580078125,190.4416961669922,7764.95361328125,761.9673461914062,3154.539306640625
